route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1276000000649,276,,Pågatågen,106,
1276000000650,276,,Pågatågen,106,
1276000000651,276,,Pågatågen,106,
1276000000652,276,,Pågatågen,106,
1276000000653,276,,Pågatågen,106,
1276000000654,276,,Pågatågen,106,
1276000000655,276,,Pågatågen,106,
1276000000656,276,,Pågatågen,106,
1276000000657,276,,Pågatågen,106,
1276000000658,276,,Pågatågen,106,
1276000000659,276,,Pågatågen,106,
1276000000660,276,,Pågatågen,106,
1276000000661,276,,Pågatågen,106,
1276000000662,276,,Pågatågen,106,
1276000000663,276,,Pågatågen,106,
1276000000664,276,,Pågatågen,106,
1276000000665,276,,Pågatågen,106,
1276000000666,276,,Pågatågen,106,
1276000000667,276,,Pågatågen,106,
1276000000668,276,,Pågatågen,106,
1276000000669,276,,Pågatågen,106,
1276000000670,276,,Pågatågen,106,
1276000000671,276,,Pågatågen,106,
1276000000672,276,,Pågatågen,106,
1276000000673,276,,Pågatågen,106,
1276000000674,276,,Pågatågen,106,
1276000000675,276,,Pågatågen,106,
1276000000676,276,,Pågatågen,106,
1276000000678,276,,Pågatågen,106,
1276000000679,276,,Pågatågen,106,
1276000000680,276,,Pågatågen,106,
1276000000681,276,,Pågatågen,106,
1276000000682,276,,Pågatågen,106,
1276000000683,276,,Pågatågen,106,
1276000000684,276,,Pågatågen,106,
1276000000685,276,,Pågatågen,106,
1276000000686,276,,Pågatågen,106,
1276000000687,276,,Pågatågen,106,
1276000000688,276,,Pågatågen,106,
1276000000689,276,,Pågatågen,106,
1276000000690,276,,Pågatågen,106,
1276000000691,276,,Pågatågen,106,
1276000000692,276,,Pågatågen,106,
1276000000693,276,,Pågatågen,106,
1276000000694,276,,Pågatågen,106,
1276000000695,276,,Pågatågen,106,
1276000000696,276,,Pågatågen,106,
1276000000697,276,,Pågatågen,106,
1276000000698,276,,Pågatågen,106,
1276000000699,276,,Pågatågen,106,
1276000000700,276,,Pågatågen,106,
1276000000701,276,,Pågatågen,106,
1276000000702,276,,Pågatågen,106,
1276000000703,276,,Pågatågen,106,
