route_id,technical_route_number
1251086000001,860
1251086500001,865
1251086700001,867
1251087400001,874
1251087600001,876
1251088000001,880
1251088600001,886
1251089500001,895
1251089600001,896
1251090000001,900
1252000100001,1
1252000200001,2
1252000300001,3
1252000400001,4
1252000500001,5
1252000600001,6
1252000700001,7
1252001800001,18
1252001900001,19
1252002000001,20
1252002100001,21
1252002300001,23
1252002400001,24
1252002900001,29
1252003000001,30
1252003100001,31
1252004000001,40
1252004100001,41
1252006000001,60
1252006100001,61
1252006200001,62
1252006300001,63
1252006400001,64
1252006500001,65
1252006600001,66
1252014100001,141
1252014200001,142
1252014300001,143
1252016300001,163
1252016400001,164
1252016400002,164
1252016400003,164
1252016500001,165
1252016600001,166
1252017100001,171
1252018100001,181
1252018200001,182
1252018300001,183
1252020300001,203
1252020600001,206
1252020700001,207
1252020800001,208
1252022000001,220
1252023000001,230
1252030100001,301
1252030200001,302
1252030300001,303
1252030300002,303
1252030300003,303
1252030500001,305
1252030500002,305
1252030500003,305
1252030500004,305
1252030600001,306
1252030600002,306
1252030600003,306
1252030600004,306
1252032500001,325
1252033200001,332
1252033700001,337
1252040100001,401
1252040100002,401
1252040100003,401
1252040200001,402
1252040500001,405
1252040500002,405
1252040500003,405
1252040600001,406
1252041100001,411
1252041100002,411
1252041100003,411
1252041100004,411
1252041400001,414
1252041400002,414
1252041400003,414
1252041500001,415
1252043000001,430
1252044000001,440
1252047900001,479
1252048100001,481
1252048300001,483
1252048300002,483
1252048300003,483
1252048300004,483
1252048400001,484
1252049000001,490
1252049000002,490
1252049000003,490
1252051300001,513
1252051300002,513
1252051300003,513
1252051300004,513
1252051400001,514
1252051500001,515
1252052500001,525
1252053400001,534
1252054300001,543
1252054300002,543
1252054300003,543
1252054300004,543
1252055000001,550
1252055100001,551
1252055100002,551
1252055100003,551
1252055200001,552
1252055300001,553
1252055400001,554
1252055500001,555
1252055600001,556
1252055700001,557
1252055700002,557
1252056000001,560
1252056100001,561
1252056200001,562
1252056200002,562
1252056200003,562
1252056200004,562
1252056300001,563
1252056400001,564
1252056400002,564
1252057000001,570
1252058900001,589
1252058900002,589
1252058900003,589
1252058900004,589
1252059000001,590
1252060100001,601
1252060200001,602
1252060500001,605
1252061500001,615
1252063100001,631
1252063300001,633
1252063400001,634
1252063600001,636
1252063700001,637
1252063800001,638
1252064200001,642
1252064300001,643
1252064600001,646
1252065500001,655
1252065600001,656
1252066000001,660
1252066300001,663
1252066700001,667
1252067200001,672
1252067400001,674
1252067600001,676
1252068300001,683
1252068600001,686
1252069000001,690
1252069100001,691
1252070100001,701
1252071000001,710
1252071500001,715
1252073000001,730
1252075900001,759
1252076000001,760
1252076500001,765
1252078000001,780
1252080100001,801
1252080200001,802
1252080500001,805
1252082000001,820
1252084100001,841
1252092000001,920
1253000000001,null
1253000000002,null
1253000000003,null
1253000000004,null
1253000000005,null
1253000000006,null
1253000000007,null
1253000000008,null
1253000000009,null
1253000000010,null
1253000000011,null
1253000000012,null
1253000000013,null
1253000000014,null
1253000000015,null
1253000000016,null
1253000000017,null
1253000000018,null
1253000000019,null
1253000000020,null
1253000000021,null
1253000000022,null
1253000000023,null
1253000000024,null
1253000000025,null
1253000000026,null
1253000000027,null
1253000000028,null
1253000000029,null
1253000000030,null
1253000000031,null
1253000000032,null
1253000000033,null
1253000000034,null
1253000000035,null
1253000000036,null
1253000000037,null
1253000000038,null
1253000000039,null
1253000000040,null
1253000000041,null
1253000000042,null
1253000000043,null
1253000000044,null
1253000000045,null
1253000000046,null
1253000000047,null
1253000000048,null
1253000000049,null
1253000000050,null
1253000000051,null
1253000000052,null
1253000000053,null
1253000000054,null
1253000000055,null
1253000000056,null
