route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011014132100000-3019,505000000000000014,3019,Västtågen,100,
9011014132100000-3020,505000000000000014,3020,Västtågen,100,
9011014132100000-3021,505000000000000014,3021,Västtågen,100,
9011014132100000-3022,505000000000000014,3022,Västtågen,100,
9011014132100000-3023,505000000000000014,3023,Västtågen,100,
9011014132100000-3024,505000000000000014,3024,Västtågen,100,
9011014132100000-3025,505000000000000014,3025,Västtågen,100,
9011014132100000-3026,505000000000000014,3026,Västtågen,100,
9011014132100000-3027,505000000000000014,3027,Västtågen,100,
9011014132100000-3028,505000000000000014,3028,Västtågen,100,
9011014132100000-3029,505000000000000014,3029,Västtågen,100,
9011014132100000-3030,505000000000000014,3030,Västtågen,100,
9011014132100000-3031,505000000000000014,3031,Västtågen,100,
9011014132100000-3032,505000000000000014,3032,Västtågen,100,
9011014132100000-3033,505000000000000014,3033,Västtågen,100,
9011014132100000-3034,505000000000000014,3034,Västtågen,100,
9011014132100000-3035,505000000000000014,3035,Västtågen,100,
9011014132100000-3036,505000000000000014,3036,Västtågen,100,
9011014132100000-3037,505000000000000014,3037,Västtågen,100,
9011014132100000-3038,505000000000000014,3038,Västtågen,100,
9011014132100000-3039,505000000000000014,3039,Västtågen,100,
9011014132100000-3040,505000000000000014,3040,Västtågen,100,
9011014132100000-3041,505000000000000014,3041,Västtågen,100,
9011014132100000-3042,505000000000000014,3042,Västtågen,100,
9011014132100000-3043,505000000000000014,3043,Västtågen,100,
9011014132100000-3044,505000000000000014,3044,Västtågen,100,
9011014132100000-3045,505000000000000014,3045,Västtågen,100,
9011014132100000-3046,505000000000000014,3046,Västtågen,100,
9011014132100000-3047,505000000000000014,3047,Västtågen,100,
9011014132100000-3048,505000000000000014,3048,Västtågen,100,
9011014132100000-3049,505000000000000014,3049,Västtågen,100,
9011014132100000-3050,505000000000000014,3050,Västtågen,100,
9011014132100000-3051,505000000000000014,3051,Västtågen,100,
9011014132100000-3052,505000000000000014,3052,Västtågen,100,
9011014132100000-3053,505000000000000014,3053,Västtågen,100,
9011014132100000-3054,505000000000000014,3054,Västtågen,100,
9011014132100000-3055,505000000000000014,3055,Västtågen,100,
9011014132100000-3056,505000000000000014,3056,Västtågen,100,
9011014132100000-3057,505000000000000014,3057,Västtågen,100,
9011014132100000-3058,505000000000000014,3058,Västtågen,100,
9011014132100000-3059,505000000000000014,3059,Västtågen,100,
9011014132100000-3060,505000000000000014,3060,Västtågen,100,
9011014132100000-3061,505000000000000014,3061,Västtågen,100,
9011014132100000-3062,505000000000000014,3062,Västtågen,100,
9011014132100000-3063,505000000000000014,3063,Västtågen,100,
9011014132100000-3064,505000000000000014,3064,Västtågen,100,
9011014132100000-3065,505000000000000014,3065,Västtågen,100,
9011014132100000-3066,505000000000000014,3066,Västtågen,100,
9011014132100000-3067,505000000000000014,3067,Västtågen,100,
9011014132100000-3068,505000000000000014,3068,Västtågen,100,
9011014132100000-3069,505000000000000014,3069,Västtågen,100,
9011014132100000-3070,505000000000000014,3070,Västtågen,100,
9011014132100000-3071,505000000000000014,3071,Västtågen,100,
9011014132100000-3072,505000000000000014,3072,Västtågen,100,
9011014132100000-3073,505000000000000014,3073,Västtågen,100,
9011014132100000-3074,505000000000000014,3074,Västtågen,100,
9011014132100000-3075,505000000000000014,3075,Västtågen,100,
9011014132100000-3076,505000000000000014,3076,Västtågen,100,
9011014132100000-3077,505000000000000014,3077,Västtågen,100,
9011014132100000-3078,505000000000000014,3078,Västtågen,100,
9011014132100000-3079,505000000000000014,3079,Västtågen,100,
9011014132100000-3080,505000000000000014,3080,Västtågen,100,
9011014132100000-3081,505000000000000014,3081,Västtågen,100,
9011014132100000-3082,505000000000000014,3082,Västtågen,100,
9011014132100000-3083,505000000000000014,3083,Västtågen,100,
9011014132100000-3084,505000000000000014,3084,Västtågen,100,
9011014132100000-3085,505000000000000014,3085,Västtågen,100,
9011014132100000-3086,505000000000000014,3086,Västtågen,100,
9011014132100000-3087,505000000000000014,3087,Västtågen,100,
9011014132100000-3088,505000000000000014,3088,Västtågen,100,
9011014132100000-3089,505000000000000014,3089,Västtågen,100,
9011014132100000-3090,505000000000000014,3090,Västtågen,100,
9011014132100000-3091,505000000000000014,3091,Västtågen,100,
9011014132100000-3092,505000000000000014,3092,Västtågen,100,
9011014132100000-3093,505000000000000014,3093,Västtågen,100,
9011014132100000-3094,505000000000000014,3094,Västtågen,100,
9011014132100000-3095,505000000000000014,3095,Västtågen,100,
9011014132100000-3102,505000000000000014,3102,Västtågen,100,
9011014132100000-3103,505000000000000014,3103,Västtågen,100,
9011014132100000-3104,505000000000000014,3104,Västtågen,100,
9011014132100000-3105,505000000000000014,3105,Västtågen,100,
9011014132100000-3106,505000000000000014,3106,Västtågen,100,
9011014132100000-3107,505000000000000014,3107,Västtågen,100,
9011014132100000-3108,505000000000000014,3108,Västtågen,100,
9011014132100000-3109,505000000000000014,3109,Västtågen,100,
9011014132100000-3110,505000000000000014,3110,Västtågen,100,
9011014132100000-3111,505000000000000014,3111,Västtågen,100,
9011014132100000-3112,505000000000000014,3112,Västtågen,100,
9011014132100000-3113,505000000000000014,3113,Västtågen,100,
9011014132100000-3114,505000000000000014,3114,Västtågen,100,
9011014132100000-3115,505000000000000014,3115,Västtågen,100,
9011014132100000-3116,505000000000000014,3116,Västtågen,100,
9011014132100000-3117,505000000000000014,3117,Västtågen,100,
9011014132100000-3118,505000000000000014,3118,Västtågen,100,
9011014132100000-3119,505000000000000014,3119,Västtågen,100,
9011014132100000-3120,505000000000000014,3120,Västtågen,100,
9011014132100000-3121,505000000000000014,3121,Västtågen,100,
9011014132100000-3122,505000000000000014,3122,Västtågen,100,
9011014132100000-3123,505000000000000014,3123,Västtågen,100,
9011014132100000-3124,505000000000000014,3124,Västtågen,100,
9011014132100000-3125,505000000000000014,3125,Västtågen,100,
9011014132100000-3172,505000000000000014,3172,Västtågen,100,
9011014132100000-3174,505000000000000014,3174,Västtågen,100,
9011014132100000-3175,505000000000000014,3175,Västtågen,100,
9011014132100000-3176,505000000000000014,3176,Västtågen,100,
9011014132100000-3177,505000000000000014,3177,Västtågen,100,
9011014132100000-3178,505000000000000014,3178,Västtågen,100,
9011014132100000-3179,505000000000000014,3179,Västtågen,100,
9011014132100000-3180,505000000000000014,3180,Västtågen,100,
9011014132100000-3181,505000000000000014,3181,Västtågen,100,
9011014132100000-3182,505000000000000014,3182,Västtågen,100,
9011014132100000-3183,505000000000000014,3183,Västtågen,100,
9011014132100000-3184,505000000000000014,3184,Västtågen,100,
9011014132100000-3185,505000000000000014,3185,Västtågen,100,
9011014132100000-3186,505000000000000014,3186,Västtågen,100,
9011014132100000-3187,505000000000000014,3187,Västtågen,100,
9011014132100000-3188,505000000000000014,3188,Västtågen,100,
9011014132100000-3189,505000000000000014,3189,Västtågen,100,
9011014133100000,505000000000000014,3600,Västtågen,100,
9011014133100000-13608,505000000000000014,13608,Västtågen,100,
9011014133100000-13609,505000000000000014,13609,Västtågen,100,
9011014133100000-13610,505000000000000014,13610,Västtågen,100,
9011014133100000-13611,505000000000000014,13611,Västtågen,100,
9011014133100000-13612,505000000000000014,13612,Västtågen,100,
9011014133100000-13613,505000000000000014,13613,Västtågen,100,
9011014133100000-13614,505000000000000014,13614,Västtågen,100,
9011014133100000-13615,505000000000000014,13615,Västtågen,100,
9011014133100000-13616,505000000000000014,13616,Västtågen,100,
9011014133100000-13617,505000000000000014,13617,Västtågen,100,
9011014133100000-13618,505000000000000014,13618,Västtågen,100,
9011014133100000-13619,505000000000000014,13619,Västtågen,100,
9011014133100000-13620,505000000000000014,13620,Västtågen,100,
9011014133100000-13621,505000000000000014,13621,Västtågen,100,
9011014133100000-13622,505000000000000014,13622,Västtågen,100,
9011014133100000-13623,505000000000000014,13623,Västtågen,100,
9011014133100000-13670,505000000000000014,13670,Västtågen,100,
9011014133100000-13671,505000000000000014,13671,Västtågen,100,
9011014133100000-13672,505000000000000014,13672,Västtågen,100,
9011014133100000-13673,505000000000000014,13673,Västtågen,100,
9011014133100000-13674,505000000000000014,13674,Västtågen,100,
9011014133100000-13675,505000000000000014,13675,Västtågen,100,
9011014133100000-13676,505000000000000014,13676,Västtågen,100,
9011014133100000-13677,505000000000000014,13677,Västtågen,100,
9011014133100000-13678,505000000000000014,13678,Västtågen,100,
9011014133100000-13679,505000000000000014,13679,Västtågen,100,
9011014133100000-13680,505000000000000014,13680,Västtågen,100,
9011014133100000-13681,505000000000000014,13681,Västtågen,100,
9011014133100000-17383,505000000000000014,17383,Västtågen,100,
9011014133100000-17387,505000000000000014,17387,Västtågen,100,
9011014133100000-3602,505000000000000014,3602,Västtågen,100,
9011014133100000-3603,505000000000000014,3603,Västtågen,100,
9011014133100000-3612,505000000000000014,3612,Västtågen,100,
9011014133100000-3613,505000000000000014,3613,Västtågen,100,
9011014133100000-3616,505000000000000014,3616,Västtågen,100,
9011014133100000-3617,505000000000000014,3617,Västtågen,100,
9011014133100000-3618,505000000000000014,3618,Västtågen,100,
9011014133100000-3619,505000000000000014,3619,Västtågen,100,
9011014133100000-3620,505000000000000014,3620,Västtågen,100,
9011014133100000-3621,505000000000000014,3621,Västtågen,100,
9011014133100000-3622,505000000000000014,3622,Västtågen,100,
9011014133100000-3623,505000000000000014,3623,Västtågen,100,
9011014133100000-3624,505000000000000014,3624,Västtågen,100,
9011014133100000-3625,505000000000000014,3625,Västtågen,100,
9011014133100000-3626,505000000000000014,3626,Västtågen,100,
9011014133100000-3627,505000000000000014,3627,Västtågen,100,
9011014133100000-3628,505000000000000014,3628,Västtågen,100,
9011014133100000-3629,505000000000000014,3629,Västtågen,100,
9011014133100000-3630,505000000000000014,3630,Västtågen,100,
9011014133100000-3631,505000000000000014,3631,Västtågen,100,
9011014133100000-3632,505000000000000014,3632,Västtågen,100,
9011014133100000-3633,505000000000000014,3633,Västtågen,100,
9011014133100000-3634,505000000000000014,3634,Västtågen,100,
9011014133100000-3635,505000000000000014,3635,Västtågen,100,
9011014133100000-3636,505000000000000014,3636,Västtågen,100,
9011014133100000-3637,505000000000000014,3637,Västtågen,100,
9011014133100000-3638,505000000000000014,3638,Västtågen,100,
9011014133100000-3639,505000000000000014,3639,Västtågen,100,
9011014133100000-3640,505000000000000014,3640,Västtågen,100,
9011014133100000-3641,505000000000000014,3641,Västtågen,100,
9011014133100000-3642,505000000000000014,3642,Västtågen,100,
9011014133100000-3643,505000000000000014,3643,Västtågen,100,
9011014133100000-3644,505000000000000014,3644,Västtågen,100,
9011014133100000-3645,505000000000000014,3645,Västtågen,100,
9011014133100000-3646,505000000000000014,3646,Västtågen,100,
9011014133100000-3647,505000000000000014,3647,Västtågen,100,
9011014133100000-3648,505000000000000014,3648,Västtågen,100,
9011014133100000-3649,505000000000000014,3649,Västtågen,100,
9011014133100000-3650,505000000000000014,3650,Västtågen,100,
9011014133100000-3651,505000000000000014,3651,Västtågen,100,
9011014133100000-3652,505000000000000014,3652,Västtågen,100,
9011014133100000-3653,505000000000000014,3653,Västtågen,100,
9011014133100000-3654,505000000000000014,3654,Västtågen,100,
9011014133100000-3655,505000000000000014,3655,Västtågen,100,
9011014133100000-3656,505000000000000014,3656,Västtågen,100,
9011014133100000-3657,505000000000000014,3657,Västtågen,100,
9011014133100000-3658,505000000000000014,3658,Västtågen,100,
9011014133100000-3659,505000000000000014,3659,Västtågen,100,
9011014133100000-3660,505000000000000014,3660,Västtågen,100,
9011014133100000-3661,505000000000000014,3661,Västtågen,100,
9011014133100000-3662,505000000000000014,3662,Västtågen,100,
9011014133100000-3663,505000000000000014,3663,Västtågen,100,
9011014133100000-3664,505000000000000014,3664,Västtågen,100,
9011014133100000-3665,505000000000000014,3665,Västtågen,100,
9011014133100000-3666,505000000000000014,3666,Västtågen,100,
9011014133100000-3667,505000000000000014,3667,Västtågen,100,
9011014133100000-3668,505000000000000014,3668,Västtågen,100,
9011014133100000-3669,505000000000000014,3669,Västtågen,100,
9011014133100000-3670,505000000000000014,3670,Västtågen,100,
9011014133100000-3671,505000000000000014,3671,Västtågen,100,
9011014133100000-3672,505000000000000014,3672,Västtågen,100,
9011014133100000-3673,505000000000000014,3673,Västtågen,100,
9011014133100000-3674,505000000000000014,3674,Västtågen,100,
9011014133100000-3675,505000000000000014,3675,Västtågen,100,
9011014133100000-3676,505000000000000014,3676,Västtågen,100,
9011014133100000-3677,505000000000000014,3677,Västtågen,100,
9011014133100000-3678,505000000000000014,3678,Västtågen,100,
9011014133100000-3679,505000000000000014,3679,Västtågen,100,
9011014133100000-3680,505000000000000014,3680,Västtågen,100,
9011014133100000-3681,505000000000000014,3681,Västtågen,100,
9011014133100000-3682,505000000000000014,3682,Västtågen,100,
9011014133100000-3683,505000000000000014,3683,Västtågen,100,
9011014133100000-3684,505000000000000014,3684,Västtågen,100,
9011014133100000-3685,505000000000000014,3685,Västtågen,100,
9011014133100000-3688,505000000000000014,3688,Västtågen,100,
9011014133100000-3689,505000000000000014,3689,Västtågen,100,
9011014133100000-3692,505000000000000014,3692,Västtågen,100,
9011014133100000-3693,505000000000000014,3693,Västtågen,100,
9011014160200000,505000000000000014,3400,Västtågen,100,
9011014160200000-13418,505000000000000014,13418,Västtågen,100,
9011014160200000-13420,505000000000000014,13420,Västtågen,100,
9011014160200000-13433,505000000000000014,13433,Västtågen,100,
9011014160200000-13451,505000000000000014,13451,Västtågen,100,
9011014160200000-13459,505000000000000014,13459,Västtågen,100,
9011014160200000-13461,505000000000000014,13461,Västtågen,100,
9011014160200000-13469,505000000000000014,13469,Västtågen,100,
9011014160200000-13471,505000000000000014,13471,Västtågen,100,
9011014160200000-13474,505000000000000014,13474,Västtågen,100,
9011014160200000-13476,505000000000000014,13476,Västtågen,100,
9011014160200000-13478,505000000000000014,13478,Västtågen,100,
9011014160200000-13482,505000000000000014,13482,Västtågen,100,
9011014160200000-13483,505000000000000014,13483,Västtågen,100,
9011014160200000-13484,505000000000000014,13484,Västtågen,100,
9011014160200000-13486,505000000000000014,13486,Västtågen,100,
9011014160200000-13490,505000000000000014,13490,Västtågen,100,
9011014160200000-13494,505000000000000014,13494,Västtågen,100,
9011014160200000-3402,505000000000000014,3402,Västtågen,100,
9011014160200000-3405,505000000000000014,3405,Västtågen,100,
9011014160200000-3407,505000000000000014,3407,Västtågen,100,
9011014160200000-3416,505000000000000014,3416,Västtågen,100,
9011014160200000-3419,505000000000000014,3419,Västtågen,100,
9011014160200000-3420,505000000000000014,3420,Västtågen,100,
9011014160200000-3421,505000000000000014,3421,Västtågen,100,
9011014160200000-3422,505000000000000014,3422,Västtågen,100,
9011014160200000-3423,505000000000000014,3423,Västtågen,100,
9011014160200000-3424,505000000000000014,3424,Västtågen,100,
9011014160200000-3425,505000000000000014,3425,Västtågen,100,
9011014160200000-3426,505000000000000014,3426,Västtågen,100,
9011014160200000-3427,505000000000000014,3427,Västtågen,100,
9011014160200000-3428,505000000000000014,3428,Västtågen,100,
9011014160200000-3429,505000000000000014,3429,Västtågen,100,
9011014160200000-3430,505000000000000014,3430,Västtågen,100,
9011014160200000-3431,505000000000000014,3431,Västtågen,100,
9011014160200000-3432,505000000000000014,3432,Västtågen,100,
9011014160200000-3433,505000000000000014,3433,Västtågen,100,
9011014160200000-3435,505000000000000014,3435,Västtågen,100,
9011014160200000-3436,505000000000000014,3436,Västtågen,100,
9011014160200000-3437,505000000000000014,3437,Västtågen,100,
