stop_id,trafikverket_signature
740004402,ÄLO
740004404,ÖVG
740004407,AVA
740004408,AJO
740004410,BRN
740004411,BUR
740004412,BYHD
740004413,FIG
740004415,GLN
740004416,HGS
740004417,HVN
740004418,HSÅ
740004420,JE
740004422,KER
740004424,KTN
740004425,KBÅ
740004426,KVÖ
740004427,LGV
740004431,LMS
740004432,LEÄ
740004433,LPB
740004434,MLF
740004435,MRL
740004437,MFN
740004438,NHG
740004440,NÅN
740004441,PKS
740004442,PÄB
740004443,PJF
740004444,RRÖ
740004445,RJR
740004446,REN
740004447,SRN
740004448,SDS
740004449,SDNÄ
740004451,SGÄ
740004452,TÅR
740004453,TBY
740004454,TLL
740004455,TJA
740004456,VKJ
740004457,VAJ
740004458,VÖN
740004460,VLD
740004461,VJM
740004462,VGS
740004463,VGF
740005882,KSM
740007991,ÄK
740010008,JY
740010174,BDO
740010243,DIS
740010293,EBG
740010298,ER
740010327,FIN
740010362,FB
740010379,FRD
740010618,HSA
740010624,HÄS
740010689,HLÖ
740010738,JÅR
740010763,KAP
740010788,KJU
740010949,LF
740011161,ND
740011256,RY
740011353,SMT
740011430,SDE
740011458,SP
740011462,SPJ
740011476,STHO
740011497,SH
740011523,SSH
740011649,TTU
740011683,TBA
740011717,VTO
740011809,VI
740011917,BOF
740011918,ÄNG
740011921,KASD
740011934,KSAC
740012048,ALH
740012190,HIL
740012207,SAL
740012604,BSLA
740013309,ÖHL
740013317,SÅS
740013359,LMA
740013519,JS
740013662,YÖ
740013770,VBY
740013905,LVD
740013944,BNK
740014198,GÅV
740014369,SPÄ
740014392,TIB
740014404,TNA
740014433,VÄM
740014500,FYB
740014512,SSO
740014609,MSK
740014624,AKK
740014726,KIT
740014863,SBS
740014883,AMK
740014889,LTK
740015094,AY
740015675,JV
740015835,VARK
740016176,LYS
740016532,AL
740016624,FUD
740016940,VÅK
740016962,YF
740017049,GND
740018084,FJVB
740020037,UÖ
740020045,SUV
740020048,HFH
740020049,GNL
740020052,ÖDH
740020054,BLÄ
740020055,HJT
740020059,FLA
740020060,HAP
740020061,HJM
740020062,MOP
740020063,SND
740020064,KAÅ
740020065,BÅSH
740020066,BTO
740020067,RKV
740020068,NGA
740020069,EVL
740020070,HOV
740020088,BDÖ
740020089,JUL
740020090,MTM
740020091,PC
740020092,LIG
740020094,FGN
740020149,ÖBY
740020168,ÖSV
740020168,ÖSVI
740020170,MRAS
740020175,HKN
740020175,HKNI
740020176,LÖB
740020289,SKÄ
740020510,CKKP
740020754,MLGF
740020759,STE
740020760,OX
740020853,DGN
740020862,KLNB
740021861,SUR
740022706,DEMO
740022983,SUS
740023039,PB
740023520,BAD
740023831,AUK
740024005,SM
740024250,JLI
740024272,SFTB
740024861,RÖP
740024920,ÅBE
740024952,AÖ
740024953,VIV
740024954,BID
740024957,VBÄ
740024957,XVBÄ
740024958,FÅT
740024959,TOB
740024960,VENA
740025002,KVÄ
740025062,GPC
740025488,TENH
740025597,VDB
740030004,BUT
740030005,BDL
740030008,EMD
740030010,FLGD
740030012,FEÖ
740030013,FKR
740030017,HFA
740030025,LHR
740030026,KDA
740030035,NHD
740030036,NGD
740030041,RJN
740030043,SSÄ
740030045,SKRU
740030050,THD
740030051,TSL
740030055,UF
740030056,VTN
740030062,ÖVMB
740030065,LGB
740030399,DTC
740030400,HCP
740030401,MCP
740035841,LVMO
740037092,LH
740038520,ÖRS
740038526,TRE
740038527,SDY
740046004,GDV
740064282,HV
740068883,KMS
740073617,VMAN
740073936,ÅSRA
740074572,VGA
760000100,XOSL
760000207,XLLS
760000303,XFET
760000305,XSÖR
760000307,XBLK
760000308,XRFS
760000309,XHAG
760000311,XÅRN
760000315,XSKA
760000318,XKVG
760000508,XSKI
760000516,XMOS
760000518,XRYG
760000519,XRÅD
760000522,XFRE
760000527,XSBO
760000546,XHLD
760000551,XKO
760001122,XHMD
760001124,XMBG
760001126,XTND
760001204,XVHR
760001207,XHMV
760001208,XHEL
760001210,XHRA
760001213,XGU
760001214,XMER
760001215,XKPR
760002319,XGLO
760002402,XNK
760002403,XSMS
760002404,XROM
760002405,XKAT
760002406,XBJF
760012405,XSÖS
760090011,XTRYB
760090016,XTRY
800010100,ZBLN
800080600,ZMUN
860000512,ZOD
860000518,ZNG
860000605,ZSG
860000611,ZRG
860000617,ZRO
860000626,ZKH
860000646,ZKN
860000650,ZKK
860000655,ZHL
860000659,ZKL
860000661,ZSÅ
860000662,ZVB
860000663,ZRU
860000664,ZOK
860000665,ZNI
860000666,ZHUM
860000667,ZGAE
860000668,ZSQ
860000669,ZHG
860000798,ZHTÅ
860000856,ZÖRE
860000857,ZTÅT
860000858,ZCPH
